DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Mon, Dec 12",vs Atlanta ,W128-103  ,18-9,Jones  22,Jackson Jr.  7,Jones  11
"Thu, Dec 15",vs Milwaukee ,W142-101  ,19-9,Morant  25,Morant  10,Morant  10
"Sat, Dec 17",@ Oklahoma City ,L115-109  ,19-10,Brooks  32,Jackson Jr.  8,Konchar  3
"Tue, Dec 20",@ Denver ,L105-91  ,19-11,Morant  35,Adams  10,Morant  10
"Fri, Dec 23",@ Phoenix ,W125-100  ,20-11,Jackson Jr.  24,Adams  11,Morant  11
"Sun, Dec 25",@ Golden State ,L123-109  ,20-12,Morant  36,Adams  14,Morant  8
"Tue, Dec 27",vs Phoenix ,L125-108  ,20-13,Morant  34,Adams  9,Morant  6
"Thu, Dec 29",@ Toronto ,W119-106  ,21-13,Brooks  25,Adams  17,Morant  17
"Sat, Dec 31",vs New Orleans ,W116-101  ,22-13,Morant  32,Adams  21,Morant  8
"Sun, Jan 1",vs Sacramento ,W118-108  ,23-13,Morant  35,Adams  23,Jones  8
"Wed, Jan 4",@ Charlotte ,W131-107  ,24-13,Morant  23,Adams  15,Morant  8
"Thu, Jan 5",@ Orlando ,W123-115  ,25-13,Morant  32,Jackson Jr.  10,Jones  8
"Sun, Jan 8",vs Utah ,W123-118  ,26-13,Bane  24,Tillman  9,Bane  9
"Mon, Jan 9",vs San Antonio ,W121-113  ,27-13,Jones  24,Adams  15,Jones  6
"Wed, Jan 11",vs San Antonio ,W135-129  ,28-13,Morant  38,Adams  18,Adams  5
"Sat, Jan 14",@ Indiana ,W130-112  ,29-13,Bane  25,Jackson Jr.  10,Morant  10
"Mon, Jan 16",vs Phoenix ,W136-106  ,30-13,Morant  29,Adams  9,Jones  8
"Wed, Jan 18",vs Cleveland ,W115-114  ,31-13,Bane  25,Adams  10,Morant  8
"Fri, Jan 20",@ Los Angeles ,L122-121  ,31-14,Morant  22,Adams  17,Morant  8
"Sun, Jan 22",@ Phoenix ,L112-110  ,31-15,Morant  27,Adams  16,Morant  8
"Mon, Jan 23",@ Sacramento ,L133-100  ,31-16,Bane  21,Jones  6,Jones  8
"Wed, Jan 25",@ Golden State ,L122-120  ,31-17,Morant  29,Clarke  8,Morant  12
"Fri, Jan 27",@ Minnesota ,L111-100  ,31-18,Morant  27,Morant  10,Morant  11
"Sun, Jan 29",vs Indiana ,W112-100  ,32-18,Jackson Jr.  28,Tillman  11,Morant  15
"Wed, Feb 1",vs Portland ,L122-112  ,32-19,Morant  32,Tillman  10,Morant  12
"Thu, Feb 2",@ Cleveland ,L128-113  ,32-20,Bane  25,Aldama  10,Morant  8
"Sun, Feb 5",vs Toronto ,L106-103  ,32-21,Bane  26,Tillman  9,Jones  7
"Tue, Feb 7",vs Chicago ,W104-89  ,33-21,Morant  34,Clarke  13,Morant  7
"Fri, Feb 10",vs Minnesota ,W128-107  ,34-21,Morant  32,Morant  9,Morant  9
"Sun, Feb 12",@ Boston ,L119-109  ,34-22,Morant  25,Jackson Jr.  7,Morant  7
"Wed, Feb 15",vs Utah ,W117-111  ,35-22,Jackson Jr.  26,Clarke  10,Morant  9
"Thu, Feb 23",@ Philadelphia ,L110-105  ,51-31,Bane  25,Tillman  12,Jones  6
"Sat, Feb 25",vs Denver ,W112-94  ,36-23,Morant  23,Clarke  9,Jones  5
"Tue, Feb 28",vs Los Angeles ,W121-109  ,37-23,Morant  39,Tillman  11,Morant  10
"Wed, Mar 1",@ Houston ,W113-99  ,38-23,Bane  30,Bane  9,Morant  7
"Fri, Mar 3",@ Denver ,L113-97  ,38-24,Morant  27,Tillman  10,Morant  10
"Sun, Mar 5",@ LA ,L135-129  ,38-25,Bane  30,Jackson Jr.  5,Jones  12
"Tue, Mar 7",@ Los Angeles ,L112-103  ,38-26,Jackson Jr.  26,Tillman  10,Bane  5
"Thu, Mar 9",vs Golden State ,W131-110  ,39-26,Jones  22,Jackson Jr.  9,Jones  11
"Sat, Mar 11",vs Dallas ,W112-108  ,40-26,Bane  25,Tillman  8,Jones  10
"Mon, Mar 13",@ Dallas ,W104-88  ,41-26,Bane  23,Aldama  9,Bane  7
"Wed, Mar 15",@ Miami ,L138-119  ,41-27,Jackson Jr.  25,Jackson Jr.  9,Jones  5
"Fri, Mar 17",@ San Antonio ,W126-120 OT ,42-27,Jackson Jr.  28,Jones  10,Jones  10
"Sat, Mar 18",vs Golden State ,W133-119  ,43-27,Jackson Jr.  31,Tillman  10,Jones  14
"Mon, Mar 20",vs Dallas ,W112-108  ,44-27,Jackson Jr.  28,Aldama  14,Jones  6
"Wed, Mar 22",vs Houston ,W130-125  ,45-27,Jackson Jr.  37,Jackson Jr.  10,Bane  7
"Fri, Mar 24",vs Houston ,W151-114  ,46-27,Kennard  30,Jackson Jr.  7,Jones  9
"Sun, Mar 26",@ Atlanta ,W123-119  ,47-27,Morant  27,Tillman  8,Morant  6
"Tue, Mar 28",vs Orlando ,W113-108  ,48-27,Bane  31,Jackson Jr.  10,Jones  8
"Wed, Mar 29",vs LA ,L141-132  ,48-28,Morant  36,Tillman  9,Morant  9
"Fri, Mar 31",vs LA ,W108-94  ,49-28,Bane  22,Tillman  8,Bane  9
"Sun, Apr 2",@ Chicago ,L128-107  ,49-29,Jackson Jr.  31,Morant  10,Morant  10
"Tue, Apr 4",vs Portland ,W119-109  ,50-29,Bane  30,Aldama  11,Morant  9
"Wed, Apr 5",@ New Orleans ,L138-131 OT ,50-30,Jackson Jr.  40,Jackson Jr.  9,Jones  12
"Fri, Apr 7",@ Milwaukee ,W137-114  ,51-30,Jackson Jr.  36,Bane  8,Jones  9
"Sun, Apr 9",@ Oklahoma City ,L115-100  ,51-31,Lofton Jr.  42,Lofton Jr.  14,Williams  9
