DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Tue, Feb 28",@ Oklahoma City ,W123-117  ,36-25,Barnes  29,Sabonis  13,Sabonis  9
"Fri, Mar 3",vs LA ,W128-127  ,37-25,Fox  33,Sabonis  10,Monk  8
"Sat, Mar 4",vs Minnesota ,L138-134  ,37-26,Huerter  29,Sabonis  14,Fox  7
"Mon, Mar 6",vs New Orleans ,W123-108  ,38-26,Huerter  25,Sabonis  11,Sabonis  11
"Thu, Mar 9",vs New York ,W122-117  ,39-26,Sabonis  24,Sabonis  13,Sabonis  10
"Sat, Mar 11",@ Phoenix ,W128-119  ,40-26,Barnes  19,Sabonis  8,Fox  6
"Mon, Mar 13",vs Milwaukee ,L133-124  ,40-27,Fox  35,Sabonis  17,Sabonis  15
"Wed, Mar 15",@ Chicago ,W117-114  ,41-27,Fox  32,Sabonis  17,Sabonis  10
"Thu, Mar 16",@ Brooklyn ,W101-96  ,42-27,Sabonis  24,Sabonis  21,Monk  6
"Sat, Mar 18",@ Washington ,W132-118  ,43-27,Sabonis  30,Sabonis  9,Sabonis  10
"Mon, Mar 20",@ Utah ,L128-120  ,43-28,Fox  37,Sabonis  12,Sabonis  9
"Tue, Mar 21",vs Boston ,L132-109  ,43-29,Fox  18,Sabonis  13,Sabonis  12
"Fri, Mar 24",vs Phoenix ,W135-127  ,44-29,Huerter  29,Huerter  9,Sabonis  9
"Sat, Mar 25",vs Utah ,W121-113  ,45-29,Huerter  27,Sabonis  15,Sabonis  7
"Mon, Mar 27",vs Minnesota ,L119-115  ,45-30,Fox  29,Lyles  11,Fox  6
"Wed, Mar 29",@ Portland ,W120-80  ,46-30,Monk  19,Sabonis  12,Monk  6
"Fri, Mar 31",@ Portland ,W138-114  ,47-30,Sabonis  20,Sabonis  12,Fox  11
"Sun, Apr 2",vs San Antonio ,L142-134 OT ,47-31,Fox  28,Sabonis  8,Sabonis  6
"Tue, Apr 4",@ New Orleans ,W121-103  ,48-31,Fox  23,Sabonis  12,Sabonis  11
"Wed, Apr 5",@ Dallas ,L123-119  ,48-32,Fox  28,Sabonis  11,Sabonis  11
"Fri, Apr 7",vs Golden State ,L119-97  ,48-33,Metu  15,Metu  9,Mitchell  5
"Sun, Apr 9",@ Denver ,L109-95  ,48-34,Barnes  17,Sabonis  9,Dozier  6
