DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Thu, Feb 23",@ Orlando ,L108-106  ,15-45,Ivey  25,Wiseman  10,Hayes  5
"Sat, Feb 25",vs Toronto ,L95-91  ,15-46,Bagley III  21,Bagley III  18,Ivey  10
"Mon, Feb 27",@ Charlotte ,L117-106  ,15-47,Wiseman  23,Bagley III  12,Hayes  10
"Wed, Mar 1",vs Chicago ,L117-115  ,15-48,Bogdanovic  34,Bagley III  9,Hayes  7
"Sat, Mar 4",@ Cleveland ,L114-90  ,15-49,Bagley III  20,Bagley III  13,Hayes  5
"Mon, Mar 6",vs Portland ,L110-104  ,15-50,Livers  17,Bagley III  8,Ivey  13
"Tue, Mar 7",vs Washington ,L119-117  ,15-51,Ivey  26,Omoruyi  6,Ivey  12
"Thu, Mar 9",vs Charlotte ,L113-103  ,15-52,Joseph  17,Wiseman  13,Ivey  6
"Sat, Mar 11",vs Indiana ,L121-115  ,15-53,Livers  18,Duren  11,Hayes  13
"Mon, Mar 13",vs Indiana ,W117-97  ,16-53,Joseph  22,Wiseman  14,Hayes  11
"Tue, Mar 14",@ Washington ,L117-97  ,16-54,Hayes  20,Wiseman  10,Hayes  7
"Thu, Mar 16",vs Denver ,L119-100  ,16-55,McGruder  20,Duren  13,Hayes  7
"Sun, Mar 19",vs Miami ,L112-100  ,16-56,Wiseman  22,Wiseman  13,Hayes  11
"Tue, Mar 21",@ Atlanta ,L129-107  ,16-57,Bagley III  31,Omoruyi  9,Hayes  6
"Fri, Mar 24",@ Toronto ,L118-97  ,16-58,Ivey  20,Bagley III  9,Ivey  8
"Mon, Mar 27",vs Milwaukee ,L126-117  ,16-59,Ivey  32,Duren  10,Ivey  8
"Wed, Mar 29",@ Oklahoma City ,L107-106  ,16-60,Ivey  24,Wiseman  11,Ivey  9
"Fri, Mar 31",@ Houston ,L121-115  ,16-61,Bagley III  21,Duren  10,Ivey  9
"Sun, Apr 2",@ Orlando ,L128-102  ,16-62,Hayes  20,Wiseman  10,Hayes  7
"Tue, Apr 4",vs Miami ,L118-105  ,16-63,Ivey  30,Duren  14,Hayes  8
"Wed, Apr 5",vs Brooklyn ,L123-108  ,16-64,Hampton  27,Duren  8,Ivey  10
"Fri, Apr 7",@ Indiana ,W122-115  ,17-64,Ivey  29,Duren  10,Ivey  9
"Sun, Apr 9",@ Chicago ,L103-81  ,17-65,Hayes  26,Duren  18,Joseph  9
