DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Fri, Mar 24",vs Chicago ,L124-96  ,32-41,Sharpe  24,Eubanks  7,Johnson  6
"Sun, Mar 26",vs Oklahoma City ,L118-112  ,32-42,Sharpe  29,Eubanks  10,Johnson  5
"Mon, Mar 27",vs New Orleans ,L124-90  ,32-43,Johnson  20,Sharpe  8,Johnson  6
"Wed, Mar 29",vs Sacramento ,L120-80  ,32-44,Sharpe  30,Knox II  12,Sharpe  7
"Fri, Mar 31",vs Sacramento ,L138-114  ,32-45,Sharpe  27,Eubanks  10,Mays  6
"Sun, Apr 2",@ Minnesota ,W107-105  ,33-45,Sharpe  27,Walker  7,Mays  9
"Tue, Apr 4",@ Memphis ,L119-109  ,33-46,Mays  24,Mays  8,Mays  7
"Thu, Apr 6",@ San Antonio ,L129-127  ,33-47,Knox II  24,Eubanks  9,Harrison  9
"Sat, Apr 8",@ LA ,L136-125  ,33-48,Knox II  30,Knox II  11,Harrison  10
"Sun, Apr 9",vs Golden State ,L157-101  ,33-49,Mays  21,Sharpe  7,Mays  12
