DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Tue, Mar 14",vs Milwaukee ,L116-104  ,37-32,Booker  30,Ayton  8,Paul  8
"Thu, Mar 16",vs Orlando ,W116-113  ,38-32,Booker  19,Ayton  7,Paul  7
"Sun, Mar 19",@ Oklahoma City ,L124-120  ,38-33,Booker  46,Craig  7,Paul  13
"Wed, Mar 22",@ Los Angeles ,L122-111  ,38-34,Booker  33,Biyombo  8,Booker  5
"Fri, Mar 24",@ Sacramento ,L135-127  ,38-35,Booker  32,Booker  8,Paul  13
"Sat, Mar 25",vs Philadelphia ,W125-105  ,39-35,Booker  29,Biyombo  13,Payne  7
"Mon, Mar 27",@ Utah ,W117-103  ,40-35,Booker  24,Ayton  8,Paul  10
"Wed, Mar 29",vs Minnesota ,W107-100  ,41-35,Booker  29,Okogie  9,Paul  6
"Fri, Mar 31",vs Denver ,W100-93  ,42-35,Durant  30,Ayton  10,Paul  13
"Sun, Apr 2",@ Oklahoma City ,W128-118  ,43-35,Durant  35,Ayton  11,Booker  10
"Tue, Apr 4",vs San Antonio ,W115-94  ,44-35,Booker  27,Ayton  11,Booker  3
"Thu, Apr 6",vs Denver ,W119-115  ,45-35,Durant  29,Durant  7,Booker  8
"Fri, Apr 7",@ Los Angeles ,L121-107  ,45-36,Craig  18,Landale  10,Ross  6
"Sun, Apr 9",vs LA ,L119-114  ,45-37,Lee  25,Bazley  9,Lee  10
