DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Mon, Mar 6",@ Indiana ,W147-143  ,42-22,Embiid  42,Harden  9,Harden  20
"Tue, Mar 7",@ Minnesota ,W117-94  ,43-22,Embiid  39,Harris  14,Maxey  5
"Fri, Mar 10",vs Portland ,W120-119  ,44-22,Embiid  39,Harden  9,Harden  8
"Sun, Mar 12",vs Washington ,W112-93  ,45-22,Embiid  34,Embiid  8,Harden  14
"Wed, Mar 15",@ Cleveland ,W118-109  ,46-22,Embiid  36,Embiid  18,Harden  12
"Fri, Mar 17",@ Charlotte ,W121-82  ,47-22,Embiid  38,Embiid  13,Harden  10
"Sat, Mar 18",@ Indiana ,W141-121  ,48-22,Embiid  31,Embiid  7,Embiid  7
"Mon, Mar 20",vs Chicago ,L109-105 2OT ,48-23,Embiid  37,Embiid  16,Harden  12
"Wed, Mar 22",@ Chicago ,W116-91  ,49-23,Melton  25,Harris  9,Harris  8
"Fri, Mar 24",@ Golden State ,L120-112  ,54-28,Embiid  46,Embiid  9,Embiid  8
"Sat, Mar 25",@ Phoenix ,L125-105  ,49-25,Maxey  37,Embiid  10,Milton  6
"Mon, Mar 27",@ Denver ,L116-111  ,49-26,Maxey  29,Reed  9,Maxey  5
"Wed, Mar 29",vs Dallas ,W116-108  ,50-26,Embiid  25,Embiid  9,Harden  12
"Fri, Mar 31",vs Toronto ,W117-110  ,51-26,Embiid  25,Embiid  12,Harden  11
"Sun, Apr 2",@ Milwaukee ,L117-104  ,51-27,Maxey  29,Reed  10,Harden  6
"Tue, Apr 4",vs Boston ,W103-101  ,52-27,Embiid  52,Embiid  13,Harden  10
"Thu, Apr 6",vs Miami ,L129-101  ,52-28,Embiid  21,Embiid  6,Milton  10
"Fri, Apr 7",@ Atlanta ,W136-131 OT ,53-28,McDaniels  24,McDaniels  11,Milton  16
"Sun, Apr 9",@ Brooklyn ,W134-105  ,54-28,McClung  20,Reed  10,McClung  9
