DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Mon, Mar 6",vs Boston ,W118-114 OT ,41-26,Mitchell  40,Mobley  17,Garland  12
"Wed, Mar 8",@ Miami ,W104-100  ,42-26,Garland  25,Allen  12,Garland  7
"Fri, Mar 10",@ Miami ,L119-115  ,42-27,Mitchell  42,Allen  13,Rubio  8
"Sun, Mar 12",@ Charlotte ,W114-108  ,43-27,Garland  28,Mobley  9,Garland  6
"Tue, Mar 14",@ Charlotte ,W120-104  ,44-27,Mobley  26,Mobley  6,LeVert  7
"Wed, Mar 15",vs Philadelphia ,L118-109  ,44-28,LeVert  24,Mobley  12,LeVert  6
"Fri, Mar 17",vs Washington ,W117-94  ,45-28,Garland  24,Mobley  8,Garland  9
"Tue, Mar 21",@ Brooklyn ,W115-109  ,46-28,Mitchell  31,Allen  14,Garland  6
"Thu, Mar 23",@ Brooklyn ,W116-114  ,47-28,Mitchell  31,Mobley  16,Garland  8
"Sun, Mar 26",vs Houston ,W108-91  ,48-28,Allen  24,Allen  14,Garland  8
"Tue, Mar 28",@ Atlanta ,L120-118  ,48-29,Mitchell  44,Mobley  15,Mobley  6
"Fri, Mar 31",vs New York ,L130-116  ,48-30,Mitchell  42,Mobley  7,Garland  9
"Sun, Apr 2",vs Indiana ,W115-105  ,49-30,Mitchell  40,Mobley  16,Garland  6
"Tue, Apr 4",@ Orlando ,W117-113  ,50-30,Mitchell  43,Mobley  7,Garland  10
"Thu, Apr 6",@ Orlando ,W118-94  ,51-30,Green  21,Diakite  8,Neto  8
"Sun, Apr 9",vs Charlotte ,L106-95  ,51-31,Merrill  17,Allen  6,Rubio  7
